TIMESTAMP,COLLECTOR,TOPIC,KEYWORDS,ACCOUNT HANDLE,ACCOUNT NAME,ACCOUNT BIO,JOINED,FOLLOWING,FOLLOWERS,LOCATION,RAW DATA,TRANSLATED DATA,DATE POSTED,TWEET URL,CONTENT TYPE,FAVORITES,REPLIES,RETWEETS
18/03/2023 18:40:50 PM,Rey Christian E. Delos Reyes,Red tagging students from state universities,(UPD OR PUP OR DLSU OR Ateneo) AND (Komunista OR NPA OR Elitista) until:2023-01-01 since:2019-01-01,@4MahalimaSB19,4MahalimaSB19,"I'm an SB19 supporter saved by Jesus Christ who is the only way, the truth and the life. Fan account appreciating the boys' exceptional God-given talent.",2022-04-10 04:15:18+00:00,435,320,Republic of the Philippines,"@dyyy_keun @felipsuperior Speaking of gold, the PH has the 2nd largest  gold deposit. Some theorist alludes 2 PH as Solomon's Ophir in the Bible. After thousands of years, we still have one of the largest deposits. Below is a depiction of a 16th century Visayan Noble. 

#FELIP_Bulan 
#FELIP @felipsuperior https://t.co/uI9jrgmJFT",keun Speaking of gold the PH has the 2nd largest gold deposit Some theorist alludes 2 PH as Solomons Ophir in the Bible After thousands of years we still have one of the largest deposits Below is a depiction of a 16th century Visayan Noble FELIPBulan FELIP,2022-06-01 01:14:05+00:00,https://twitter.com/4MahalimaSB19/status/1531806253957099520,"text, hashtags, user_mentions, media",42,1531799523642572800,34
18/03/2023 18:40:51 PM,Rey Christian E. Delos Reyes,Red tagging students from state universities,(UPD OR PUP OR DLSU OR Ateneo) AND (Komunista OR NPA OR Elitista) until:2023-01-01 since:2019-01-01,@carlabrews,Carla Brews,Only Twitter Account| UPLB| PRO Ph | Narrative lang walang personalan | Coffee Enthusiast | Foodie,2022-03-11 04:55:34+00:00,152,2802,Republic of the Philippines,@BisayangIlokano Will check kila Ka Eric pero most students esp from UP or PUP will end up as Cadre ng CPP-NPA-NDF 😒,Will check kila Ka Eric pero most students esp from UP or PUP will end up as Cadre ng CPPNPANDF,2023-02-18 18:52:57+00:00,https://twitter.com/carlabrews/status/1627018349753565184,"text, user_mentions",3,1626951021607129089,1
18/03/2023 18:40:52 PM,Rey Christian E. Delos Reyes,Red tagging students from state universities,(UPD OR PUP OR DLSU OR Ateneo) AND (Komunista OR NPA OR Elitista) until:2023-01-01 since:2019-01-01,@amylauderdake,amylauderdake,,2020-08-10 20:55:53+00:00,18,12,Republic of the Philippines,"@BanatByPh Typical NPA UNIVERSITIES   .... Ateneo, UP. PUP . USTI ARE  BECOMING A  BREADING GROUND   FOR CPP NPA NDF",Typical NPA UNIVERSITIES Ateneo UP PUP USTI ARE BECOMING A BREADING GROUND FOR CPP NPA NDF,2020-11-22 03:56:47+00:00,https://twitter.com/amylauderdake/status/1330359548436246529,"text, user_mentions",2,1329731855571062786,0
18/03/2023 18:40:53 PM,Rey Christian E. Delos Reyes,Red tagging students from state universities,(UPD OR PUP OR DLSU OR Ateneo) AND (Komunista OR NPA OR Elitista) until:2023-01-01 since:2019-01-01,@SamukaNimoUy,-Nessa-,Your Engineer ❤️💚🤍,2022-01-22 09:24:45+00:00,136,110,Republic of the Philippines,UP and PUP are NPA’s recruitment hubs.,UP and PUP are NPAs recruitment hubs,2022-05-15 08:37:53+00:00,https://twitter.com/SamukaNimoUy/status/1525757348039389185,text,0,,0
18/03/2023 18:40:54 PM,Rey Christian E. Delos Reyes,Red tagging students from state universities,(UPD OR PUP OR DLSU OR Ateneo) AND (Komunista OR NPA OR Elitista) until:2023-01-01 since:2019-01-01,@Shaider_de,Dai Sawamura,"Pulis Pangkalawan, Space Sheriff",2015-09-26 08:10:38+00:00,60,10,Republic of the Philippines,@News5PH History itself shows that Almost all CPP/NPA Leaders and Members came from UP and PUP in addition to those they have fooled from the Province and Mountains.,History itself shows that Almost all CPPNPA Leaders and Members came from UP and PUP in addition to those they have fooled from the Province and Mountains,2021-01-20 15:58:07+00:00,https://twitter.com/Shaider_de/status/1351921960847101954,"text, user_mentions",2,1351883426274680832,0
18/03/2023 18:40:54 PM,Rey Christian E. Delos Reyes,Red tagging students from state universities,(UPD OR PUP OR DLSU OR Ateneo) AND (Komunista OR NPA OR Elitista) until:2023-01-01 since:2019-01-01,@n4qpu,浜崎 夏海 🏅,"I rant based on my judgment
I also slap onion-skinned milktea wokes
MY TWITTER ACCOUNT, MY RULES!",2019-05-11 17:34:30+00:00,428,498,Republic of the Philippines,"@ninetys16 @Bahaghari_bicol @BahaghariCebu @AnakbayanAlbay @BahaghariBU @Bahaghari_PH @BahaghariNE @BahaghariUPB @bulsu_banyuhay @BahaghariBTG @BahaghariUPD @jabcamsur Tapos ire-recruit nila yung makikita nilang pogi na sundalo at pulis na sumapi sa NPA at magsagawa ng civil disobedience. So entitled brats, mga takam naman sa b*rats 😂😂",bicol PH banyuhay Tapos irerecruit nila yung makikita nilang pogi na sundalo at pulis na sumapi sa NPA at magsagawa ng civil disobedience So entitled brats mga takam naman sa brats,2021-01-20 10:48:34+00:00,https://twitter.com/n4qpu/status/1351844058935615488,"text, user_mentions",2,1351843402363535360,0
18/03/2023 18:40:55 PM,Rey Christian E. Delos Reyes,Red tagging students from state universities,(UPD OR PUP OR DLSU OR Ateneo) AND (Komunista OR NPA OR Elitista) until:2023-01-01 since:2019-01-01,@JethroGamez,jethjeth ♥️💚,Mahalin natin ang Pilipinas at sama-sama tayong babangon muli. 👊🇵🇭,2017-02-19 03:36:39+00:00,2248,1940,Republic of the Philippines,"Well, I thought I'm gonna be brainwashed by their tactics but thank God, that 10 hours program is one of the worst in my lifetime.

A state university being controlled by a terrorist entity called CPP-NPA-NDF.",Well I thought Im gonna be brainwashed by their tactics but thank God that 10 hours program is one of the worst in my lifetimeA state university being controlled by a terrorist entity called CPPNPANDF,2020-08-11 11:20:45+00:00,https://twitter.com/JethroGamez/status/1293145325163569152,text,17,1293145323016077318,4
18/03/2023 18:40:56 PM,Rey Christian E. Delos Reyes,Red tagging students from state universities,(UPD OR PUP OR DLSU OR Ateneo) AND (Komunista OR NPA OR Elitista) until:2023-01-01 since:2019-01-01,@samsunguser13,Your Arms🇵🇭/🇩🇪,"🤓🫠 22❤️💚 Talks about economic developments, politics, technology & etc. 
ENEMY of Wokes",2021-12-26 14:04:37+00:00,116,51,Republic of the Philippines,@PhilippinePDNS UP terorista what do we expect,UP terorista what do we expect,2022-07-29 06:52:29+00:00,https://twitter.com/samsunguser13/status/1552909911394500608,"text, user_mentions",1,1552623086561665024,0
18/03/2023 18:40:57 PM,Rey Christian E. Delos Reyes,Red tagging students from state universities,(UPD OR PUP OR DLSU OR Ateneo) AND (Komunista OR NPA OR Elitista) until:2023-01-01 since:2019-01-01,@brymac9168,Bryan ❤️💚🇵🇭,Internet Savvy | Hates summer | loves halloween | Pisces ♓ | music lover,2011-10-06 22:23:33+00:00,1005,3033,Republic of the Philippines,@kikopangilinan Ulol kiko. Tinulungan nyong makapasok ang terorista dyan sa UP. TINUNGAN NYONG MAKAPASOK ANG TERORISTA SA STATE UNIVERSITY. SA SKWELAHAN NA PAG AARI NG GOBYERNO. Tapos pinagtatangol mo pa?! Ganyan ka ka ulol.,Ulol kiko Tinulungan nyong makapasok ang terorista dyan sa UP TINUNGAN NYONG MAKAPASOK ANG TERORISTA SA STATE UNIVERSITY SA SKWELAHAN NA PAG AARI NG GOBYERNO Tapos pinagtatangol mo pa Ganyan ka ka ulol,2021-01-18 22:27:39+00:00,https://twitter.com/brymac9168/status/1351295215403864065,"text, user_mentions",22,1351150930792771584,0
18/03/2023 18:40:58 PM,Rey Christian E. Delos Reyes,Red tagging students from state universities,(UPD OR PUP OR DLSU OR Ateneo) AND (Komunista OR NPA OR Elitista) until:2023-01-01 since:2019-01-01,@e_eisaacs,ECS,,2015-08-08 09:00:35+00:00,942,921,Republic of the Philippines,"@IskoMoreno Mayor oo meron tayong pandemya, pero ang kumunistang terorista ay matagal nang epidemya sa lipunan. Paano mo matutulungan ang gobyerno lalo na at maraming state university sa iyong nasasakupan na lantaran ang recruitment sa school,social media at maging sa kalsada?!",Mayor oo meron tayong pandemya pero ang kumunistang terorista ay matagal nang epidemya sa lipunan Paano mo matutulungan ang gobyerno lalo na at maraming state university sa iyong nasasakupan na lantaran ang recruitment sa schoolsocial media at maging sa kalsada,2020-10-23 04:59:05+00:00,https://twitter.com/e_eisaacs/status/1319503590248108032,"text, user_mentions",38,1319183685539692545,3
