Timestamp,Tweet URL,Group,Collector,Category,Topic,Keywords,Account handle,Account name,Account bio,Account type,Joined,Following,Followers,Location,Tweet,Tweet Translated,Tweet Type,Date posted,Screenshot,Content type,Likes,Replies,Retweets,Quote Tweets,Views
2023-03-31 09:13:12.703342,https://twitter.com/AmarilloSlayer/status/1476403198646648841,58,Jarred Luzada,REDT,Red-tagging of activists during the Duterte Administration,massacre martial law marcos until:2021-12-31 since:2016-01-01,@AmarilloSlayer,RDM,"ANG INUUGALI KO AY BASE LANG DIN SA INUUGALI NIYO, SO DON'T GET MAD. ✌️😎",Anonymous,2021-10-18 13:49:43+00:00,33,19,"Manila City, National Capital ",@Bihayb1 @inquirerdotnet i search mo din ang Hacienda Luisita Massacre. ang mga karamihan ng napatay sa Martial Law ay mga rebelde kumpara sa pinapatay ng mga Aquino na magsasaka.kunwari galit kayo kay Marcos pero yung ginawa ng pamilya ni Kris iniignore nyo lang?,-,text,2021-12-30 04:02:07+00:00,-,-,1,3,0,0,
2023-03-31 09:13:12.703342,https://twitter.com/RoldanGeonson/status/1471362665331183623,58,Jarred Luzada,REDT,Red-tagging of activists during the Duterte Administration,massacre martial law marcos until:2021-12-31 since:2016-01-01,@RoldanGeonson,Roldan Geonson,"When you are gunning to be like other people,you are foolishly repeating their mistakes , and the worst of it all is that you can't even correct yours.",Anonymous,2021-11-19 16:51:16+00:00,21,9,Cebu City,"@isabelmerana Taga cebu ako pero I and my family choose Marcos, why? 
When martial law happened sa panahon ng mga lolo, lola, parents, uncles at sa mga aunties ko, sabi nila much better and lighter ang buhay,unlike aquino administration daming massacre na nangyari!",-,text,2021-12-16 06:12:50+00:00,-,-,0,0,0,0,
2023-03-31 09:13:12.703342,https://twitter.com/aikonriche/status/1471018382434893825,58,Jarred Luzada,REDT,Red-tagging of activists during the Duterte Administration,massacre martial law marcos until:2021-12-31 since:2016-01-01,@aikonriche,🙃,,Anonymous,2013-02-15 22:11:58+00:00,25,224,,"@PackandCarryAll @Michael550265 @igorotbiker @YamBenedict @kingonzaga1 @DHorizonIsClear @WebBuzzr Tumiwalag kay Marcos mga generals nya kaya nga sya napatalsik. Pano makakapang massacre ung wala ng military support?

Pero daming massacre nyang ginawa kahit bago pa lang magdeklara ng martial law. Kabog ang Hacienda Luisita at Mendiola massacres sa hari ng patayan. https://t.co/2PzOdjcWzb",-,text,2021-12-15 07:24:47+00:00,-,-,0,1,0,0,
2023-03-31 09:13:12.703342,https://twitter.com/8YhQJHx3vN2lI2P/status/1467087537806413827,58,Jarred Luzada,REDT,Red-tagging of activists during the Duterte Administration,massacre martial law marcos until:2021-12-31 since:2016-01-01,@8YhQJHx3vN2lI2P,marnits,"🇵🇭🇵🇭🇵🇭✌️✌️👊👊
DDS BBM suporters",Anonymous,2021-11-03 06:03:50+00:00,842,820,"Hilongos, Eastern Visayas",@Hteb21061324 Tama ka para sa MGA dilawan lang yna human rights madami Sila kinaso human rights sa martial law ni Marcos nde nman napatunayan Ang MGA Marcos tlg may gawa sa MGA nabiktima sa martial law  tapos un hacienda luisita massacre Mendiola massacre kadapawan massacre bkt tahimik sila,-,text,2021-12-04 11:05:00+00:00,-,-,0,0,0,0,
2023-03-31 09:13:12.703342,https://twitter.com/kayu_manggui/status/1464915210481770501,58,Jarred Luzada,REDT,Red-tagging of activists during the Duterte Administration,massacre martial law marcos until:2021-12-31 since:2016-01-01,@kayu_manggui,Paruparung Pink,"I do not advocate any political party. But I care about social justice, propriety, decency, freedom.",Anonymous,2016-05-14 12:44:03+00:00,186,155,Republic of the Philippines,"@JUNJORXFUL @MalacananEvents Ang NPA armed wing yan ng COMMUNIST Party of the Philippines. KOMUNISTA. It strengthened during Marcos’ Martial Law years.
The “massacre” in HL was a standoff with the authorities. 
No one could have stopped the rage of Yolanda. Had it happened during-",-,text,2021-11-28 11:12:57+00:00,-,-,0,1,0,0,
2023-03-31 09:13:12.703342,https://twitter.com/philnation612/status/1464833666639556614,58,Jarred Luzada,REDT,Red-tagging of activists during the Duterte Administration,massacre martial law marcos until:2021-12-31 since:2016-01-01,@philnation612,Phil Nation,"Engineer, love cars & golf",Anonymous,2021-08-08 03:57:09+00:00,53,5,Republic of the Philippines,"@LozaresReca @RosalynLuczon @maikerrru @ABSCBNNews Yung Mendiola Massacre. Ibig sabihin ba si Cory ang pumatay sa mga Farmers?
Yung Hacienda Luisita Massacre at SAF 44. Ibig sabihin ba si Noynoy ang pumatay sa kanila. 
Yung Martial Law ay Batas Militar. Militar ang pumigil sa mga komunista. Hindi si Marcos.",-,text,2021-11-28 05:48:56+00:00,-,-,0,1,0,0,
2023-03-31 09:13:12.704341,https://twitter.com/eicvsfascism/status/1464518309672472582,58,Jarred Luzada,REDT,Red-tagging of activists during the Duterte Administration,massacre martial law marcos until:2021-12-31 since:2016-01-01,@eicvsfascism,karl #MarcosMamamatayTao,views are personal • @ProjectGunitaPH co-founder | @rightswatchph co-convenor | AAMPF ‘21 @Official_UPD | @ins_ph | @atomphils83,Anonymous,2019-01-13 10:29:15+00:00,1000,6198,,"NOPE. NOPE. NOPE.

EO 70 itself is based upon anti-communism. In Indonesia, anti-communism led to the massacre of 1 million Indonesians under Sukarno. In PH, anti-communism led to Marcos’ martial law. In Latin America, anti-communism led to brutal dictators. That’s EO 70 for you.",-,text,2021-11-27 08:55:49+00:00,-,-,118,1,34,0,
2023-03-31 09:13:12.704341,https://twitter.com/heythiiird/status/1462290194229776385,58,Jarred Luzada,REDT,Red-tagging of activists during the Duterte Administration,massacre martial law marcos until:2021-12-31 since:2016-01-01,@heythiiird,That Third!,♉️ | saks lang,Anonymous,2012-04-13 10:44:16+00:00,286,22,4118,"Keypoints ng usapan nila:

-infrastructures under Duts admin (Airport, trains, roads)
-free tuition sa univs and stipend (raw) 
-acienda luisita massacre 
-walang nagawa ang Aquino admins
-binulag raw ng media to hate Marcos admin
-maganda raw ang martial law",-,text,2021-11-21 05:22:04+00:00,-,-,0,0,0,0,
2023-03-31 09:13:12.704341,https://twitter.com/jmtanon/status/1460888675605049346,58,Jarred Luzada,REDT,Red-tagging of activists during the Duterte Administration,massacre martial law marcos until:2021-12-31 since:2016-01-01,@jmtanon,Kel,UPD. UP ACES • UP Catandungan • JPGS-UPD. Walnut and Chestnut's no-chill hooman. IG: recykeld. Reddit: u/_lechonk_kawali_. Hmu here: https://t.co/ohmJVv15Sb,Anonymous,2017-12-01 12:09:18+00:00,2601,666,🇵🇭 | 1101 | 1425 | 4801/4802,"OK na sana e, but 7 deaths are 7 too many. Both Marcos' Martial Law and the Hacienda Luisita Massacre are atrocities that should never be forgotten, regardless of the number of casualties.",-,text,2021-11-17 08:32:56+00:00,-,-,16,0,5,0,
2023-03-31 09:13:12.704341,https://twitter.com/ernestdmenace/status/1460819446361387013,58,Jarred Luzada,REDT,Red-tagging of activists during the Duterte Administration,massacre martial law marcos until:2021-12-31 since:2016-01-01,@ernestdmenace,ernestdmenace,,Anonymous,2015-09-11 12:42:07+00:00,119,32,,"@FouSurLaColline Natandaan ko pa nung time ni Marcos, 1985.. 20-30 tao ang namatay sa ESCALANTE, Negros Occ... tinaguriang Escalante Massacre.. mga paramilitary troops ng Gov ang may gawa dahil may protest rally lang in  commemorate of MARCOS Martial Law.. 1 lang yan sa marami pang iba.",-,text,2021-11-17 03:57:51+00:00,-,-,2,0,0,0,
